icao,name,lat,lon,country
KATL,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277,US
KBOS,Boston Logan Intl,42.3656,-71.0096,US
KBWI,Baltimore/Washington Intl,39.1754,-76.6684,US
KCLE,Cleveland Hopkins Intl,41.4117,-81.8498,US
KCLT,Charlotte Douglas Intl,35.2140,-80.9431,US
KCVG,Cincinnati/N Kentucky Intl,39.0488,-84.6678,US
KDAL,Dallas Love Field,32.8471,-96.8518,US
KDCA,Ronald Reagan Washington Natl,38.8521,-77.0377,US
KDEN,Denver Intl,39.8561,-104.6737,US
KDFW,Dallas/Fort Worth Intl,32.8968,-97.0380,US
KDTW,Detroit Metropolitan Wayne County,42.2124,-83.3534,US
KEWR,Newark Liberty Intl,40.6925,-74.1687,US
KFLL,Fort Lauderdale/Hollywood Intl,26.0726,-80.1527,US
KHOU,William P Hobby,29.6454,-95.2789,US
KIAD,Washington Dulles Intl,38.9445,-77.4558,US
KIAH,George Bush Intercontinental,29.9844,-95.3414,US
KIND,Indianapolis Intl,39.7173,-86.2944,US
KJFK,John F Kennedy Intl,40.6398,-73.7789,US
KLAS,Harry Reid Intl (Las Vegas),36.0840,-115.1537,US
KLAX,Los Angeles Intl,33.9425,-118.4081,US
KLGA,LaGuardia,40.7772,-73.8726,US
KMCI,Kansas City Intl,39.2976,-94.7139,US
KMCO,Orlando Intl,28.4294,-81.3090,US
KMDW,Chicago Midway Intl,41.7868,-87.7522,US
KMEM,Memphis Intl,35.0424,-89.9767,US
KMIA,Miami Intl,25.7932,-80.2906,US
KMKE,Milwaukee Mitchell Intl,42.9472,-87.8966,US
KMSP,Minneapolis-Saint Paul Intl,44.8820,-93.2218,US
KMSY,Louis Armstrong New Orleans Intl,29.9934,-90.2580,US
KOAK,Metropolitan Oakland Intl,37.7213,-122.2208,US
KONT,Ontario Intl,34.0560,-117.6012,US
KORD,Chicago O'Hare Intl,41.9742,-87.9073,US
KPDX,Portland Intl,45.5887,-122.5975,US
KPHL,Philadelphia Intl,39.8721,-75.2411,US
KPHX,Phoenix Sky Harbor Intl,33.4373,-112.0078,US
KPIT,Pittsburgh Intl,40.4915,-80.2329,US
KRDU,Raleigh-Durham Intl,35.8776,-78.7875,US
KRSW,Southwest Florida Intl,26.5362,-81.7552,US
KSAN,San Diego Intl,32.7336,-117.1897,US
KSAT,San Antonio Intl,29.5337,-98.4698,US
KSDF,Louisville Muhammad Ali Intl,38.1744,-85.7360,US
KSEA,Seattle-Tacoma Intl,47.4502,-122.3088,US
KSFO,San Francisco Intl,37.6213,-122.3790,US
KSJC,San Jose Intl,37.3626,-121.9291,US
KSLC,Salt Lake City Intl,40.7884,-111.9778,US
KSMF,Sacramento Intl,38.6954,-121.5908,US
KSNA,John Wayne (Orange County),33.6757,-117.8683,US
KSTL,St Louis Lambert Intl,38.7487,-90.3700,US
KTPA,Tampa Intl,27.9755,-82.5332,US
KTUS,Tucson Intl,32.1161,-110.9410,US
KABQ,Albuquerque Intl Sunport,35.0402,-106.6092,US
KAUS,Austin-Bergstrom Intl,30.1945,-97.6699,US
KBDL,Bradley Intl (Hartford),41.9389,-72.6832,US
KBHM,Birmingham-Shuttlesworth Intl,33.5629,-86.7535,US
KBNA,Nashville Intl,36.1245,-86.6782,US
KBUF,Buffalo Niagara Intl,42.9405,-78.7322,US
KBTV,Burlington Intl,44.4719,-73.1533,US
KCHS,Charleston Intl/AFB,32.8986,-80.0405,US
KCOS,Colorado Springs Airport,38.8058,-104.7007,US
KCRP,Corpus Christi Intl,27.7704,-97.5012,US
KDAY,James M Cox Dayton Intl,39.9024,-84.2194,US
KDLH,Duluth Intl,46.8421,-92.1936,US
KDSM,Des Moines Intl,41.5340,-93.6631,US
KELP,El Paso Intl,31.8073,-106.3778,US
KEUG,Mahlon Sweet Field (Eugene),44.1246,-123.2119,US
KFAT,Fresno Yosemite Intl,36.7762,-119.7181,US
KFSD,Sioux Falls Regional,43.5820,-96.7419,US
KFWA,Fort Wayne Intl,40.9785,-85.1951,US
KGNV,Gainesville Regional,29.6900,-82.2718,US
KGRR,Gerald R Ford Intl (Grand Rapids),42.8808,-85.5228,US
KGSB,Seymour Johnson AFB (Goldsboro),35.3394,-77.9606,US
KGSO,Piedmont Triad Intl (Greensboro),36.0978,-79.9373,US
KGSP,Greenville-Spartanburg Intl,34.8957,-82.2189,US
KHSV,Huntsville Intl,34.6372,-86.7751,US
KICT,Wichita Dwight D Eisenhower Natl,37.6499,-97.4331,US
KJAN,Jackson-Medgar Wiley Evers Intl,32.3112,-90.0759,US
KJAX,Jacksonville Intl,30.4941,-81.6879,US
KLEX,Blue Grass (Lexington),38.0365,-84.6059,US
KLIN,Abraham Lincoln Capital (Springfield),39.8441,-89.6780,US
